%FFID	CHAN	SOU_X	SOU_Y	REC_Y	REC_X	PICK2	SOU_STAT
16	6	512783.56000	4198302.28000	4198303.73000	512739.73000	21.73886	44.70000
16	7	512783.56000	4198302.28000	4198302.73000	512739.80000	21.77795	45.10000
16	8	512783.56000	4198302.28000	4198301.73000	512739.87000	21.83220	44.90000
17	1	512783.02000	4198302.89000	4198309.04000	512739.25000	22.06874	43.70000
17	2	512783.02000	4198302.89000	4198308.04000	512739.32000	22.03748	43.50000
17	3	512783.02000	4198302.89000	4198307.05000	512739.39000	21.92151	43.30000
17	4	512783.02000	4198302.89000	4198306.05000	512739.46000	21.61958	43.90000
17	5	512783.02000	4198302.89000	4198305.05000	512739.53000	21.43263	44.20000
17	6	512783.02000	4198302.89000	4198304.05000	512739.61000	21.35415	44.70000
17	7	512783.02000	4198302.89000	4198303.06000	512739.68000	21.39756	45.10000
17	8	512783.02000	4198302.89000	4198302.06000	512739.75000	21.45612	44.80000
18	1	512782.38000	4198303.48000	4198309.43000	512739.19000	21.56872	43.50000
18	2	512782.38000	4198303.48000	4198308.43000	512739.28000	21.52613	43.40000
18	3	512782.38000	4198303.48000	4198307.43000	512739.37000	21.39834	43.20000
18	4	512782.38000	4198303.48000	4198306.44000	512739.45000	21.19264	43.70000
18	5	512782.38000	4198303.48000	4198305.44000	512739.54000	20.99489	44.10000
18	6	512782.38000	4198303.48000	4198304.45000	512739.63000	20.91263	44.50000
18	7	512782.38000	4198303.48000	4198303.45000	512739.72000	20.94552	45.10000
18	8	512782.38000	4198303.48000	4198302.45000	512739.81000	20.99399	44.70000
19	1	512781.83000	4198303.98000	4198309.86000	512739.19000	21.50034	43.70000
19	2	512781.83000	4198303.98000	4198308.86000	512739.30000	21.34455	43.40000
19	3	512781.83000	4198303.98000	4198307.87000	512739.41000	21.30431	43.20000
19	4	512781.83000	4198303.98000	4198306.87000	512739.52000	21.07846	43.90000
19	5	512781.83000	4198303.98000	4198305.88000	512739.63000	20.86827	44.10000
19	6	512781.83000	4198303.98000	4198304.89000	512739.74000	20.87331	44.50000
19	7	512781.83000	4198303.98000	4198303.89000	512739.85000	20.79375	44.90000
19	8	512781.83000	4198303.98000	4198302.90000	512739.96000	20.82985	44.70000
20	1	512781.35000	4198304.48000	4198310.15000	512739.10000	21.12476	43.60000
20	2	512781.35000	4198304.48000	4198309.15000	512739.22000	20.96481	43.30000
20	3	512781.35000	4198304.48000	4198308.16000	512739.33000	20.92713	43.20000
20	4	512781.35000	4198304.48000	4198307.17000	512739.44000	20.70448	43.90000
20	5	512781.35000	4198304.48000	4198306.17000	512739.56000	20.59014	44.00000
20	6	512781.35000	4198304.48000	4198305.18000	512739.67000	20.49826	44.60000
20	7	512781.35000	4198304.48000	4198304.19000	512739.79000	20.51529	45.00000
20	8	512781.35000	4198304.48000	4198303.19000	512739.90000	20.55486	44.80000
21	1	512780.90000	4198304.91000	4198310.36000	512739.08000	20.82234	43.40000
21	2	512780.90000	4198304.91000	4198309.36000	512739.19000	20.57157	43.40000
21	3	512780.90000	4198304.91000	4198308.37000	512739.29000	20.54326	43.10000
21	4	512780.90000	4198304.91000	4198307.38000	512739.40000	20.42355	43.80000
21	5	512780.90000	4198304.91000	4198306.38000	512739.51000	20.31900	44.30000
21	6	512780.90000	4198304.91000	4198305.39000	512739.61000	20.23707	44.50000
21	7	512780.90000	4198304.91000	4198304.39000	512739.72000	20.16431	45.50000
21	8	512780.90000	4198304.91000	4198303.40000	512739.83000	20.10747	44.70000
22	1	512780.15000	4198305.29000	4198310.51000	512739.10000	20.39539	43.30000
22	2	512780.15000	4198305.29000	4198309.52000	512739.21000	20.24747	43.30000
22	3	512780.15000	4198305.29000	4198308.52000	512739.32000	20.11433	43.20000
22	4	512780.15000	4198305.29000	4198307.53000	512739.42000	20.00402	44.80000
22	5	512780.15000	4198305.29000	4198306.53000	512739.53000	19.90261	44.20000
22	6	512780.15000	4198305.29000	4198305.54000	512739.64000	19.81746	44.40000
22	7	512780.15000	4198305.29000	4198304.54000	512739.74000	19.75512	45.40000
22	8	512780.15000	4198305.29000	4198303.55000	512739.85000	19.80236	44.90000
23	1	512777.65000	4198307.76000	4198310.78000	512739.03000	19.03947	43.40000
23	2	512777.65000	4198307.76000	4198309.78000	512739.00000	18.81611	43.00000
23	3	512777.65000	4198307.76000	4198308.78000	512738.96000	18.81657	43.10000
23	4	512777.65000	4198307.76000	4198307.78000	512738.92000	18.73422	44.30000
23	5	512777.65000	4198307.76000	4198306.78000	512738.88000	18.66903	44.10000
23	6	512777.65000	4198307.76000	4198305.78000	512738.84000	18.62091	44.30000
23	7	512777.65000	4198307.76000	4198304.78000	512738.81000	18.58316	45.20000
23	8	512777.65000	4198307.76000	4198303.78000	512738.77000	18.56889	44.80000
24	1	512775.59000	4198309.51000	4198310.89000	512739.10000	17.66318	43.30000
24	2	512775.59000	4198309.51000	4198309.89000	512739.08000	17.46045	43.00000
24	3	512775.59000	4198309.51000	4198308.89000	512739.06000	17.47592	43.20000
24	4	512775.59000	4198309.51000	4198307.89000	512739.04000	17.50956	44.20000
24	5	512775.59000	4198309.51000	4198306.89000	512739.02000	17.46129	44.20000
24	6	512775.59000	4198309.51000	4198305.89000	512739.00000	17.33099	44.40000
24	7	512775.59000	4198309.51000	4198304.89000	512738.98000	17.31851	45.30000
24	8	512775.59000	4198309.51000	4198303.89000	512738.97000	17.31710	44.70000
25	1	512773.97000	4198310.67000	4198310.93000	512739.12000	16.65679	43.20000
25	2	512773.97000	4198310.67000	4198309.94000	512738.98000	16.45423	42.90000
25	3	512773.97000	4198310.67000	4198308.95000	512738.83000	16.37679	43.30000
25	4	512773.97000	4198310.67000	4198307.96000	512738.69000	16.41092	44.10000
25	5	512773.97000	4198310.67000	4198306.97000	512738.55000	16.36294	44.10000
25	6	512773.97000	4198310.67000	4198305.98000	512738.41000	16.33252	44.40000
25	7	512773.97000	4198310.67000	4198304.99000	512738.27000	16.41929	45.20000
25	8	512773.97000	4198310.67000	4198304.00000	512738.12000	16.42938	44.90000
26	1	512772.45000	4198311.67000	4198311.00000	512739.21000	15.59086	42.90000
26	2	512772.45000	4198311.67000	4198310.02000	512739.03000	15.43303	42.90000
26	3	512772.45000	4198311.67000	4198309.03000	512738.85000	15.39439	43.40000
26	4	512772.45000	4198311.67000	4198308.05000	512738.68000	15.46709	43.90000
26	5	512772.45000	4198311.67000	4198307.06000	512738.50000	15.46516	44.20000
26	6	512772.45000	4198311.67000	4198306.08000	512738.33000	15.47334	44.50000
26	7	512772.45000	4198311.67000	4198305.09000	512738.15000	15.50627	45.20000
26	8	512772.45000	4198311.67000	4198304.11000	512737.97000	15.55453	44.70000
27	1	512771.00000	4198312.57000	4198310.90000	512739.13000	14.80513	43.00000
27	2	512771.00000	4198312.57000	4198309.96000	512738.77000	14.68539	42.80000
27	3	512771.00000	4198312.57000	4198309.03000	512738.42000	14.67525	43.20000
27	4	512771.00000	4198312.57000	4198308.10000	512738.06000	14.78765	44.00000
27	5	512771.00000	4198312.57000	4198307.16000	512737.71000	14.80978	44.10000
27	6	512771.00000	4198312.57000	4198306.23000	512737.35000	14.85219	44.60000
27	7	512771.00000	4198312.57000	4198305.29000	512737.00000	15.70342	45.20000
27	8	512771.00000	4198312.57000	4198304.36000	512736.64000	14.87325	44.90000
28	1	512770.30000	4198312.93000	4198310.92000	512739.17000	14.62746	43.20000
28	2	512770.30000	4198312.93000	4198309.99000	512738.80000	14.42120	42.70000
28	3	512770.30000	4198312.93000	4198309.06000	512738.43000	14.53163	43.10000
28	4	512770.30000	4198312.93000	4198308.13000	512738.07000	14.55148	43.90000
28	5	512770.30000	4198312.93000	4198307.20000	512737.70000	14.59319	44.00000
28	6	512770.30000	4198312.93000	4198306.27000	512737.33000	14.64946	44.50000
28	7	512770.30000	4198312.93000	4198305.34000	512736.96000	14.71963	45.30000
28	8	512770.30000	4198312.93000	4198304.41000	512736.59000	14.70301	44.80000
29	1	512765.73000	4198315.41000	4198311.02000	512739.29000	11.80862	42.90000
29	2	512765.73000	4198315.41000	4198310.10000	512738.89000	11.67955	42.80000
29	3	512765.73000	4198315.41000	4198309.19000	512738.49000	11.86553	43.10000
29	4	512765.73000	4198315.41000	4198308.27000	512738.08000	12.07475	43.90000
29	5	512765.73000	4198315.41000	4198307.36000	512737.68000	12.19021	44.00000
29	6	512765.73000	4198315.41000	4198306.44000	512737.27000	12.32732	44.50000
